,distance,label
0,0.02260947305013852,1
1,0.06150441618190147,1
2,0.07608525513779074,1
3,0.037781862524265124,1
4,0.01973982000493316,1
5,0.029166666666666674,1
6,0.03344887382997867,1
7,0.0771427448722156,1
8,0.11126725140205407,1
9,0.028497617400948975,1
10,0.0957527841841288,1
11,0.03891368257256077,1
12,0.06794208227019446,1
13,0.04472567274473512,1
14,0.1446112818541699,1
15,0.14820166857326955,1
16,0.18202924232586484,1
17,0.19462788965638697,1
18,0.11334558757279536,1
19,0.12611386438502095,1
20,0.023733343736993182,1
21,0.04278589389097041,1
22,0.24356692238276606,1
23,0.26229783514354,1
24,0.1838586749263657,1
25,0.06781419786518718,1
26,0.0714299492812433,1
27,0.13801111513655182,1
28,0.25225067142540564,1
29,0.22274677672911433,1
30,0.057012154866038306,1
31,0.06360140634364055,1
32,0.07202162312480095,1
33,0.1196461475237877,1
34,0.1902017285170253,1
35,0.06840894642235976,1
36,0.0248451997499976,1
37,0.027393170726827832,1
38,0.03977172517576765,1
39,0.028122856571272937,1
40,0.04581228472908507,1
41,0.09371655782131852,1
42,0.027777777777777735,1
43,0.015835769793043557,1
44,0.017568209223157705,1
45,0.22007644575308075,1
46,0.2745823146724206,1
47,0.15426673429045548,1
48,0.1790158710806543,1
49,0.19478640565286004,1
50,0.04084844769403541,1
51,0.03549147871994629,1
52,0.04625229390374092,1
53,0.17094621383549677,1
54,0.15196754851766595,1
55,0.15156080961893045,1
56,0.11528614427470633,1
57,0.12611386438502098,1
