frame,index_tip_x,index_tip_y,nose_tip_x,nose_tip_y
1,1.0,0.0,0.0,0.0
2,1.0,0.011673151750972832,,
3,1.0,0.0194552529182882,,
4,0.9978260869565218,0.023346303501945775,,
5,0.9978260869565218,0.02723735408560335,,
6,0.9956521739130436,0.042801556420233644,,
7,0.9913043478260871,0.07782101167315192,,
8,0.9782608695652176,0.13618677042801552,,
9,0.9565217391304349,0.21789883268482502,,
10,0.9282608695652176,0.31906614785992227,,
13,0.6500000000000001,0.5719844357976654,,
17,0.3456521739130435,0.7782101167315177,,
18,0.3021739130434784,0.8015564202334632,,
20,0.13913043478260873,0.9999999999999999,,
21,0.10000000000000009,0.9922178988326847,,
22,0.06956521739130445,0.9883268482490272,,
23,0.0500000000000001,0.9844357976653696,,
24,0.03913043478260875,0.9727626459143969,,
25,0.03260869565217389,0.9649805447470817,,
26,0.023913043478260954,0.9571984435797666,,
27,0.017391304347826153,0.953307392996109,,
28,0.010869565217391408,0.9455252918287936,,
29,0.004347826086956608,0.9377431906614785,,
30,0.002173913043478304,0.9377431906614785,,
31,0.0,0.9338521400778209,,
32,0.0,0.9377431906614785,,
33,0.0,0.9338521400778209,,
