frame,index_tip_x,index_tip_y,nose_tip_x,nose_tip_y
20,1.0,0.0,0.0,0.0
21,0.9599999999999997,0.11076923076923079,,
22,0.878095238095238,0.2492307692307692,,
23,0.8666666666666667,0.3415384615384614,,
24,0.8133333333333332,0.42769230769230754,,
25,0.7828571428571429,0.5107692307692306,,
26,0.7428571428571429,0.5815384615384616,,
27,0.699047619047619,0.633846153846154,,
28,0.6552380952380952,0.6738461538461538,,
29,0.6038095238095238,0.72,,
31,0.5542857142857144,0.7292307692307691,,
32,0.4838095238095238,0.8153846153846154,,
33,0.44952380952380955,0.8430769230769231,,
34,0.4152380952380952,0.8769230769230769,,
35,0.3828571428571429,0.8923076923076925,,
36,0.34857142857142864,0.9046153846153846,,
37,0.30666666666666664,0.9200000000000002,,
38,0.2761904761904762,0.9261538461538461,,
39,0.24761904761904763,0.9353846153846155,,
40,0.22857142857142865,0.9507692307692306,,
41,0.20571428571428568,0.9630769230769232,,
42,0.19047619047619052,0.9723076923076923,,
43,0.17142857142857149,0.9784615384615385,,
44,0.15809523809523818,0.9815384615384617,,
45,0.13904761904761903,0.9876923076923076,,
46,0.12571428571428578,0.9907692307692308,,
47,0.11238095238095247,0.9907692307692308,,
48,0.10476190476190483,0.9907692307692308,,
49,0.0971428571428572,0.9907692307692308,,
50,0.08952380952380956,0.9938461538461538,,
51,0.08190476190476187,0.9907692307692308,,
52,0.0742857142857144,0.9907692307692308,,
53,0.07047619047619053,0.9815384615384617,,
54,0.06666666666666671,0.9784615384615385,,
55,0.05714285714285722,0.9784615384615385,,
56,0.0533333333333334,0.9753846153846155,,
57,0.04571428571428571,0.9784615384615385,,
58,0.03809523809523818,0.9753846153846155,,
59,0.03428571428571431,0.9784615384615385,,
60,0.022857142857142965,0.9784615384615385,,
61,0.01904761904761909,0.9846153846153847,,
62,0.017142857142857182,0.9815384615384617,,
63,0.011428571428571399,0.9846153846153847,,
64,0.005714285714285783,0.9753846153846155,,
65,0.007619047619047581,0.9784615384615385,,
66,0.0038095238095238737,0.9753846153846155,,
67,0.005714285714285783,0.9784615384615385,,
68,0.0,0.9753846153846155,,
69,0.0019047619047619646,0.9753846153846155,,
70,0.0038095238095238737,0.9784615384615385,,
71,0.007619047619047581,0.9846153846153847,,
72,0.013333333333333364,0.9815384615384617,,
73,0.01904761904761909,0.9846153846153847,,
74,0.017142857142857182,0.9938461538461538,,
75,0.01904761904761909,0.9907692307692308,,
76,0.015238095238095217,0.996923076923077,,
77,0.015238095238095217,0.9938461538461538,,
78,0.015238095238095217,0.996923076923077,,
79,0.015238095238095217,0.996923076923077,,
80,0.015238095238095217,0.996923076923077,,
81,0.013333333333333364,0.996923076923077,,
82,0.013333333333333364,0.9907692307692308,,
83,0.009523809523809601,0.9907692307692308,,
84,0.011428571428571399,0.9938461538461538,,
85,0.007619047619047581,0.9907692307692308,,
86,0.011428571428571399,0.9938461538461538,,
87,0.011428571428571399,0.9907692307692308,,
88,0.015238095238095217,0.9938461538461538,,
89,0.011428571428571399,0.9938461538461538,,
90,0.009523809523809601,0.9938461538461538,,
91,0.011428571428571399,1.0,,
92,0.011428571428571399,0.996923076923077,,
93,0.013333333333333364,1.0,,
94,0.009523809523809601,1.0,,
