,Threshold,threshold,accuracy_value
0,Q1_0,0.38628866925805827,0.5071428571428571
1,Q2_0,0.5653664280747281,0.6642857142857143
2,Q3_0,0.9317236636338007,0.7571428571428571
3,upper_bound_0,1.7498761551974142,0.6928571428571428
4,lower_bound_0,-0.4318638223055553,0.34285714285714286
5,Q1_1,0.9711922700130436,0.7571428571428571
6,Q2_1,1.3157033352252694,0.7214285714285714
7,Q3_1,1.9653775070620674,0.6928571428571428
8,upper_bound_1,3.456655362635603,0.6714285714285714
9,lower_bound_1,-0.5200855855604919,0.34285714285714286
