,Threshold,threshold,accuracy_value
0,Q1_0,0.9493502519559631,0.29285714285714287
1,Q2_0,0.9773034615423941,0.38571428571428573
2,Q3_0,0.9902864583885098,0.5214285714285715
3,upper_bound_0,1.05169076803733,0.6571428571428571
4,lower_bound_0,0.8879459423071431,0.3
5,Q1_1,0.70247010782656,0.2857142857142857
6,Q2_1,0.92490694267653,0.29285714285714287
7,Q3_1,0.9617061267801789,0.2785714285714286
8,upper_bound_1,1.350560155210607,0.6571428571428571
9,lower_bound_1,0.31361607939613184,0.32857142857142857
