,Threshold,threshold,accuracy_value
0,Q1_0,7.687184795668591,0.5071428571428571
1,Q2_0,9.974325409973513,0.6714285714285714
2,Q3_0,14.22750939606335,0.8142857142857143
3,upper_bound_0,24.03799629665549,0.8214285714285714
4,lower_bound_0,-2.123302104923548,0.34285714285714286
5,Q1_1,21.029704762691466,0.8214285714285714
6,Q2_1,30.247913576469273,0.8
7,Q3_1,45.6800499921263,0.7357142857142858
8,upper_bound_1,82.65556783627855,0.6785714285714286
9,lower_bound_1,-15.945813081460784,0.34285714285714286
