,Threshold,threshold,accuracy_value
0,Q1_0,0.0167244369149893,0.45933014354066987
1,Q2_0,0.0263523138347365,0.6124401913875598
2,Q3_0,0.03833725828434585,0.7511961722488039
3,upper_bound_0,0.07075649033838069,0.8708133971291866
4,lower_bound_0,-0.015694795139045533,0.27751196172248804
5,Q1_1,0.039128193223362424,0.7607655502392344
6,Q2_1,0.0740534391312958,0.861244019138756
7,Q3_1,0.151865863792982,0.7942583732057417
8,upper_bound_1,0.3209723696474114,0.722488038277512
9,lower_bound_1,-0.12997831263106696,0.27751196172248804
