,Threshold,threshold,accuracy_value
0,Q1_0,0.016724437,0.45093457943925236
1,Q2_0,0.025534412,0.6285046728971962
2,Q3_0,0.038438689,0.7827102803738317
3,upper_bound_0,0.071010067,0.8691588785046729
4,lower_bound_0,-0.015846940999999996,0.26401869158878505
5,Q1_1,0.054715877,0.8551401869158879
6,Q2_1,0.080985443,0.8504672897196262
7,Q3_1,0.148201669,0.7990654205607477
8,upper_bound_1,0.288430357,0.7476635514018691
9,lower_bound_1,-0.08551281100000002,0.26401869158878505
