frame,index_tip_x,index_tip_y,nose_tip_x,nose_tip_y
1,0.8597222222222223,0.12083333333333333,0.18611111111111112,0.48333333333333334
2,0.875,0.11527777777777778,,
3,0.8763888888888889,0.11388888888888889,,
4,0.8736111111111111,0.11388888888888889,,
5,0.8708333333333333,0.1125,,
6,0.8666666666666667,0.11666666666666667,,
7,0.8555555555555555,0.13472222222222222,,
8,0.8458333333333333,0.16527777777777777,,
9,0.8180555555555555,0.20277777777777778,,
10,0.6847222222222222,0.26944444444444443,,
11,0.7791666666666667,0.2777777777777778,,
12,0.7277777777777777,0.32222222222222224,,
13,0.6972222222222222,0.35833333333333334,,
14,0.6625,0.3888888888888889,,
15,0.6194444444444445,0.41805555555555557,,
16,0.5777777777777777,0.4388888888888889,,
17,0.5291666666666667,0.4583333333333333,,
18,0.4847222222222222,0.4847222222222222,,
19,0.44305555555555554,0.475,,
20,0.4097222222222222,0.4875,,
21,0.3819444444444444,0.4875,,
22,0.35555555555555557,0.49027777777777776,,
23,0.3333333333333333,0.4930555555555556,,
24,0.3111111111111111,0.49166666666666664,,
25,0.2902777777777778,0.4930555555555556,,
26,0.2763888888888889,0.4930555555555556,,
27,0.25416666666666665,0.49027777777777776,,
28,0.2388888888888889,0.4847222222222222,,
29,0.22361111111111112,0.48194444444444445,,
30,0.21666666666666667,0.48055555555555557,,
31,0.20833333333333334,0.4777777777777778,,
32,0.20277777777777778,0.48055555555555557,,
33,0.20277777777777778,0.48055555555555557,,
34,0.2013888888888889,0.48194444444444445,,
35,0.2013888888888889,0.48055555555555557,,
